id	name	group	subgroup	cat	value	country
ab_flex	Flexibility, Balance and Coordination	Abilities	1	ab_flex	-0.0118291	ITA
know_arts_3	History and Archeology	Knowledge	2	know_arts	0.0037737	ITA
skills_read_comp	Reading Comprehension	Skills	2	skills_Basic_Cont	0.0206498	ITA
ab_audio	Auditory and Speech Abilities	Abilities	1	ab_audio	0.004335	ITA
ab_control_mov	Control Movement Abilities	Abilities	1	ab_control_mov	-0.0052323	ITA
know_law_2	Public Safety and Security	Knowledge	2	know_law	-0.007791	ITA
know_math_7	Sociology and Anthropology	Knowledge	2	know_math	0.0029705	ITA
ab_mem	Memory Abilities	Abilities	1	ab_mem	0.0074738	ITA
know_health_1	Geography	Knowledge	2	know_math	0.0077536	ITA
ab_percep	Perceptual Abilities	Abilities	1	ab_percep	0.0078239	ITA
ab_attent	Attentiveness	Abilities	1	ab_attent	0.0037757	ITA
know_bis_1	Administration and Management	Knowledge	2	know_bis	0.0029734	ITA
ab_strength	Physical Strength	Abilities	1	ab_strength	-0.0144829	ITA
skills_speak	Speaking	Skills	2	skills_Basic_Cont	0.0133667	ITA
skills_scie	Science	Skills	2	skills_Basic_Cont	0.0092379	ITA
skills_writ	Writing	Skills	2	skills_Basic_Cont	0.0184829	ITA
know_math_5	Biology	Knowledge	2	know_math	0.002362	ITA
skills_Tech_2	Systems Analysis	Skills	2	skills_Syst	0.0123493	ITA
skills_Basic_Cont_2	Coordination	Skills	2	skills_Social	0.0010039	ITA
ab_endur	Endurance	Abilities	1	ab_endur	-0.0166698	ITA
skills_Syst_3	Management of Financial Resources	Skills	2	skills_Res_Mgmt	-0.0002395	ITA
know_bis_3	Economics and Accounting	Knowledge	2	know_bis	0.006141	ITA
skills_Basic_Process_1	Operations Analysis	Skills	2	skills_Tech	0.010257	ITA
skills_Basic_Cont_4	Negotiation	Skills	2	skills_Social	0.0056202	ITA
skills_Social_3	Operation Monitoring	Skills	2	skills_Tech	0.0027797	ITA
know_com_1	Law and Government	Knowledge	2	know_law	0.0062439	ITA
know_eng_4	Design	Knowledge	2	know_eng	0.0096929	ITA
ab_visual	Visual Abilities	Abilities	1	ab_visual	0.0008882	ITA
ab_spatial	Spatial Abilities	Abilities	1	ab_spatial	0.0011465	ITA
know_trans_1	Communications and Media	Knowledge	2	know_com	0.0057302	ITA
skills_Complex_Pb_1	Operation and Control	Skills	2	skills_Tech	-0.0008872	ITA
know_bis_5	Customer and Personal Service	Knowledge	2	know_bis	-0.0042209	ITA
know_eng_5	Building and Construction	Knowledge	2	know_eng	-0.0107673	ITA
know_math_1	Mechanics	Knowledge	2	know_eng	0.0051131	ITA
